command,opcode,large
push_constant_int,0,true
push_varp,1,true
pop_varp,482,true
push_constant_string,3,true
branch,6,true
branch_not,7,true
branch_equals,8,true
branch_less_than,9,true
branch_greater_than,10,true
return,21
push_varbit,25,true
pop_varbit,27,true
branch_less_than_or_equals,31,true
branch_greater_than_or_equals,32,true
push_int_local,33,true
pop_int_local,34,true
push_string_local,35,true
pop_string_local,36,true
join_string,37,true
pop_int_discard,38,false
pop_string_discard,39
gosub_with_params,40,true
push_varc_int,42,true
pop_varc_int,43,true
define_array,44,true
push_array_int,45,true
pop_array_int,46,true
op47,47,true
op48,48,true
op51,51,true
op54,54,true
pop_long_discard,55,true
op66,66,true
op67,67,true
long_branch_not,68,true
long_branch_equals,69,true
long_branch_less_than,70,true
long_branch_greater_than,71,true
long_branch_less_than_or_equals,72,true
long_branch_greater_than_or_equals,73,true
branch_if_true,86,true
branch_if_false,87,true
op106,106,true
op107,107,true
op108,108,true
op109,109,true
op112,112,true
op113,113,true
op114,114,true
op115,115,true
